Month,BRITANNIA INDUSTRIES LTD.HQ,COAL INDIA LTD.HQ,ITC LTD.HQ,meanHQ,HCL TECHNOLOGIES LTD.18ER,SBI LIFE INSURANCE COMPANY LTD18ER,BAJAJ FINANCE LIMITED18ER,POWER GRID CORPORATION OF INDIA LTD.16ER,HCL TECHNOLOGIES LTD.15ER,TATA STEEL LTD.15ER,DABUR INDIA LTD.14ER,meanER
February-2014,0.47,-1.41,0.74,-0.07,,,,,,,0.55,0.55
March-2014,-4.94,17.99,7.77,6.94,,,,,,,3.82,3.82
April-2014,2.32,1.32,-3.46,0.06,,,,,,,-0.11,-0.11
May-2014,1.95,27.24,0.22,9.8,,,,,,,4.54,4.54
June-2014,14.45,3.81,-4.86,4.47,,,,,,,-0.13,-0.13
July-2014,13.63,-4.24,9.63,6.34,,,,,,,10.39,10.39
August-2014,8.92,-3.4,-0.29,1.74,,,,,,,12.43,12.43
September-2014,12.09,-4.22,4.39,4.09,,,,,,,-4.39,-4.39
October-2014,9.61,8.2,-4.18,4.54,,,,,,,1.67,1.67
November-2014,7.73,-3.95,2.18,1.99,,,,,,,6.73,6.73
December-2014,11.57,8.17,1.49,7.08,,,,,,,-3.13,-3.13
January-2015,2.63,-5.97,0.05,-1.1,,,,,12.42,-2.23,,5.1
February-2015,10.87,9.15,-1.99,6.01,,,,,12.62,-8.91,,1.85
March-2015,3.09,-7.99,-9.91,-4.94,,,,,-51.51,-10.91,,-31.21
April-2015,1.61,0.17,-0.98,0.27,,,,,-10.22,13.78,,1.78
May-2015,16.22,7.8,1.4,8.47,,,,,15.04,-8.88,,3.08
June-2015,8.41,7.6,-3.58,4.14,,,,,-8.97,-7.25,,-8.11
July-2015,14.22,4.33,3.54,7.36,,,,,8.2,-18.84,,-5.32
August-2015,-7.2,-16.61,-0.28,-8.03,,,,,-2.51,-9.0,,-5.76
September-2015,5.26,-10.88,1.11,-1.5,,,,,1.09,-5.84,,-2.38
October-2015,4.68,-2.02,1.76,1.47,,,,,-11.46,16.45,,2.49
November-2015,-9.39,3.38,2.54,-1.16,,,,,0.26,-6.77,,-3.26
December-2015,1.36,-0.6,-4.55,-1.26,,,,,-1.88,12.82,,5.47
January-2016,-9.48,-2.63,-2.47,-4.86,,,,4.53,,,,4.53
February-2016,2.82,-2.77,-7.42,-2.46,,,,-11.86,,,,-11.86
March-2016,-3.01,-6.17,10.9,0.57,,,,6.92,,,,6.92
April-2016,6.79,-1.68,-0.99,1.37,,,,3.13,,,,3.13
May-2016,-5.29,1.58,8.25,1.51,,,,4.57,,,,4.57
June-2016,1.88,7.37,4.69,4.65,,,,8.63,,,,8.63
July-2016,6.28,4.74,-31.42,-6.8,,,,7.95,,,,7.95
August-2016,17.88,1.72,3.01,7.54,,,,4.6,,,,4.6
September-2016,-2.52,-3.33,-7.11,-4.32,,,,-4.16,,,,-4.16
October-2016,-1.61,1.07,0.14,-0.13,,,,-0.79,,,,-0.79
November-2016,-8.3,-5.46,-3.72,-5.83,,,,9.75,,,,9.75
December-2016,-5.12,-2.66,3.46,-1.44,,,,-4.45,,,,-4.45
January-2017,8.5,3.3,7.1,6.3,,,,,,,,
February-2017,3.26,3.84,1.59,2.9,,,,,,,,
March-2017,4.76,-9.01,6.98,0.91,,,,,,,,
April-2017,7.23,-5.45,-0.66,0.37,,,,,,,,
May-2017,-2.6,-4.89,11.95,1.49,,,,,,,,
June-2017,4.57,-7.25,3.83,0.38,,,,,,,,
July-2017,6.15,2.03,-11.95,-1.26,,,,,,,,
August-2017,7.41,-4.48,-1.03,0.63,,,,,,,,
September-2017,3.12,13.7,-8.49,2.78,,,,,,,,
October-2017,7.03,5.82,3.04,5.3,,,,,,,,
November-2017,2.87,-3.54,-3.93,-1.53,,,,,,,,
December-2017,-1.4,-4.78,2.91,-1.09,,,,,,,,
January-2018,-0.92,13.54,3.1,5.24,10.67,-4.91,-4.51,,,,,0.42
February-2018,6.68,3.67,-2.27,2.69,-4.6,4.97,-2.11,,,,,-0.58
March-2018,-0.27,-8.42,-3.47,-4.05,3.11,-2.72,7.77,,,,,2.72
April-2018,10.77,0.12,9.98,6.96,8.45,10.25,7.7,,,,,8.8
May-2018,7.7,3.75,-3.5,2.65,-13.39,-7.02,10.6,,,,,-3.27
June-2018,4.48,-10.22,-2.04,-2.59,1.79,-2.7,8.96,,,,,2.68
July-2018,5.38,-1.02,11.71,5.36,4.09,2.45,17.48,,,,,8.01
August-2018,3.11,9.32,7.39,6.61,8.46,-2.53,5.95,,,,,3.96
September-2018,-13.85,-6.73,-7.03,-9.2,3.98,-24.08,-24.19,,,,,-14.76
October-2018,-2.87,-0.26,-5.7,-2.94,-3.43,9.99,9.56,,,,,5.37
November-2018,-43.93,-8.21,2.31,-16.61,-3.46,2.16,6.47,,,,,1.72
December-2018,-1.29,-1.45,-1.61,-1.45,-5.11,4.22,4.46,,,,,1.19
