meanHQ,Month,BHARTI INFRATEL LTD.HQ,HERO MOTOCORP LTD.HQ,GAIL (INDIA) LTD.HQ,DABUR INDIA LTD.HQ,POWER GRID CORPORATION OF INDIA LTD.HQ,NESTLE INDIA LTD.HQ,NTPC LTD.HQ,BHARTI AIRTEL LTD.HQ,HCL TECHNOLOGIES LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.HQ,MARUTI SUZUKI INDIA LTD.HQ,TITAN COMPANY LIMITED18ER,WIPRO LTD.18ER,TATA STEEL LTD.18ER,GODREJ CONSUMER PRODUCTS LTD.18ER,TECH MAHINDRA LTD.18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,BAJAJ AUTO LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,INDIAN OIL CORPORATION LTD.18ER,ASIAN PAINTS LTD.18ER,LARSEN & TOUBRO LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,STATE BANK OF INDIA18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,HDFC BANK LTD18ER,TATA CONSULTANCY SERVICES LTD.18ER,COAL INDIA LTD.18ER,ITC LTD.18ER,AXIS BANK LTD.18ER,ICICI BANK LTD.18ER,SHREE CEMENT LTD.18ER,TITAN COMPANY LIMITED17ER,WIPRO LTD.17ER,TATA STEEL LTD.17ER,GODREJ CONSUMER PRODUCTS LTD.17ER,BHARAT PETROLEUM CORPORATION LTD.17ER,BAJAJ AUTO LTD.17ER,INDUSIND BANK LTD.17ER,INDIAN OIL CORPORATION LTD.17ER,LARSEN & TOUBRO LTD.17ER,KOTAK MAHINDRA BANK LTD.17ER,STATE BANK OF INDIA17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,TATA CONSULTANCY SERVICES LTD.17ER,COAL INDIA LTD.17ER,ITC LTD.17ER,AXIS BANK LTD.17ER,ICICI BANK LTD.17ER,SHREE CEMENT LTD.17ER,TITAN COMPANY LIMITED16ER,WIPRO LTD.16ER,INFOSYS LTD.16ER,TATA STEEL LTD.16ER,GODREJ CONSUMER PRODUCTS LTD.16ER,TECH MAHINDRA LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,BAJAJ AUTO LTD.16ER,INDUSIND BANK LTD.16ER,INDIAN OIL CORPORATION LTD.16ER,LARSEN & TOUBRO LTD.16ER,KOTAK MAHINDRA BANK LTD.16ER,STATE BANK OF INDIA16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,TATA CONSULTANCY SERVICES LTD.16ER,COAL INDIA LTD.16ER,ITC LTD.16ER,AXIS BANK LTD.16ER,ICICI BANK LTD.16ER,SHREE CEMENT LTD.16ER,TITAN COMPANY LIMITED15ER,WIPRO LTD.15ER,INFOSYS LTD.15ER,GODREJ CONSUMER PRODUCTS LTD.15ER,TECH MAHINDRA LTD.15ER,BHARAT PETROLEUM CORPORATION LTD.15ER,BAJAJ AUTO LTD.15ER,INDUSIND BANK LTD.15ER,INDIAN OIL CORPORATION LTD.15ER,LARSEN & TOUBRO LTD.15ER,KOTAK MAHINDRA BANK LTD.15ER,STATE BANK OF INDIA15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,HDFC BANK LTD15ER,TATA CONSULTANCY SERVICES LTD.15ER,BRITANNIA INDUSTRIES LTD.15ER,COAL INDIA LTD.15ER,ITC LTD.15ER,AXIS BANK LTD.15ER,ICICI BANK LTD.15ER,SHREE CEMENT LTD.15ER,TITAN COMPANY LIMITED14ER,WIPRO LTD.14ER,TATA STEEL LTD.14ER,TECH MAHINDRA LTD.14ER,BHARAT PETROLEUM CORPORATION LTD.14ER,BAJAJ AUTO LTD.14ER,MAHINDRA & MAHINDRA LTD.14ER,INDUSIND BANK LTD.14ER,BAJAJ FINSERV LTD.14ER,INDIAN OIL CORPORATION LTD.14ER,BAJAJ FINANCE LIMITED14ER,LARSEN & TOUBRO LTD.14ER,KOTAK MAHINDRA BANK LTD.14ER,STATE BANK OF INDIA14ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,RELIANCE INDUSTRIES LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,COAL INDIA LTD.14ER,ITC LTD.14ER,ICICI BANK LTD.14ER,SHREE CEMENT LTD.14ER,meanER
0.54,February-2014,-4.89,0.27,-2.97,-0.55,0.94,3.86,10.92,8.77,-7.6,-5.83,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.32,-3.79,3.4,-4.45,-3.86,-2.1,-9.32,-3.56,-5.78,-1.14,-2.86,-12.47,-4.0,-0.4,-1.28,3.78,-1.64,3.8,-0.47,1.41,-0.74,-5.58,-5.87,-2.88
-7.98,March-2014,-13.01,-15.66,-1.66,-3.82,-11.05,-3.27,-6.53,-10.92,11.77,-9.31,-24.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.36,9.07,-14.47,4.07,-21.89,-6.98,-0.74,-26.1,-9.8,-12.45,-14.11,-14.83,-13.88,-25.24,-8.0,-9.99,6.36,-16.3,4.94,-17.99,-7.77,-19.33,-20.51,-10.62
0.25,April-2014,-6.41,3.48,1.69,0.11,-0.67,4.72,3.08,-2.74,-0.95,-2.23,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,3.8,-1.71,-2.11,1.37,7.93,-9.33,4.43,-4.75,5.86,-4.71,-1.8,-3.25,-8.37,-1.56,6.09,-2.87,-0.62,-2.32,-1.32,3.46,0.05,-0.77,-0.42
-10.62,May-2014,-6.83,-6.83,-2.11,-4.54,-15.13,-3.49,-37.51,-4.99,-0.98,-16.1,-18.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.98,3.26,-18.57,-4.52,-14.88,-2.07,-14.77,-11.45,-3.04,-37.39,-7.82,-19.56,-8.0,-22.27,2.33,-6.01,2.06,-13.88,-1.95,-27.24,-0.22,-13.95,-19.74,-11.38
-7.25,June-2014,-10.22,-12.09,-22.57,0.13,-14.29,-0.15,2.47,2.06,-5.59,-12.02,-7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.48,-7.91,-11.22,-12.38,-14.92,-18.43,6.71,-6.99,-9.68,4.35,0.98,-9.86,-2.03,-5.67,-13.01,-3.09,-12.84,4.74,-14.45,-3.81,4.86,-0.0,-6.51,-6.29
-0.69,July-2014,-0.67,1.19,5.62,-10.39,4.6,-3.62,6.99,-10.6,-3.9,6.69,-3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.24,-4.75,0.1,3.1,10.16,-4.88,1.89,-0.84,3.98,-10.22,11.61,-7.74,9.16,-7.74,-10.65,-6.52,0.86,-13.63,4.24,-9.63,-3.85,-1.57,-1.45
-4.62,August-2014,-2.34,-0.47,-1.71,-12.43,2.6,-17.04,5.03,0.78,-4.85,-10.07,-10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.42,-4.0,7.2,-9.85,-19.56,-8.74,-16.86,-4.17,-11.32,-8.28,-11.94,-1.52,-8.64,-0.85,-0.61,-8.13,2.04,0.67,-8.92,3.4,0.29,-5.67,-6.94,-5.6
-3.8,September-2014,-12.4,-8.97,-1.14,4.39,-4.64,0.32,-0.69,-9.35,-5.21,5.99,-10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.32,-5.47,10.56,-5.32,5.88,-3.95,3.17,-6.07,-7.56,-0.74,-9.81,4.55,2.18,0.74,1.98,-0.62,-8.46,5.39,-12.09,4.22,-4.39,7.79,-6.83,-1.62
-4.23,October-2014,0.71,-7.73,-17.89,-1.67,-7.39,-4.31,-8.15,1.47,6.42,0.99,-8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,5.52,-6.54,-0.97,-10.82,-11.07,4.32,-16.1,5.53,-0.61,-3.23,-13.54,-10.42,-10.62,-5.07,1.01,4.88,-5.7,-9.61,-8.2,4.18,-13.25,-8.28,-4.57
0.97,November-2014,-1.91,-2.63,7.79,-6.73,2.17,0.18,4.9,4.1,-3.54,6.31,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,-3.91,3.28,-5.18,-2.99,-1.17,-1.56,-4.55,-7.8,-0.27,-10.2,0.89,-7.43,88.1,-4.9,-6.53,-1.48,0.84,-7.73,3.95,-2.18,-7.95,1.44,1.24
1.99,December-2014,-12.61,1.23,8.81,3.13,2.88,-2.47,-1.05,7.62,3.98,10.09,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.03,5.41,15.62,1.9,13.41,7.62,6.74,-6.79,-14.01,9.08,-12.89,8.76,-5.07,2.99,2.16,3.45,3.34,10.06,-11.57,-8.17,-1.49,79.88,-4.88,4.46
-4.8,January-2015,-6.36,7.54,4.65,-9.68,-7.17,-11.43,0.21,-5.64,-12.42,-3.0,-9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.93,-9.48,-8.7,-9.43,-11.06,-15.55,2.01,-8.53,-4.72,-13.61,-4.57,0.59,-11.51,-22.82,-13.03,2.88,-2.63,5.97,-0.05,-17.26,-2.31,-16.41,,,,,,,,,,,,,,,,,,,,,,,,-7.87
-0.88,February-2015,-2.7,6.51,2.53,-3.05,-6.02,1.51,-8.31,4.17,-12.62,7.54,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,-8.73,-7.1,-6.54,0.46,0.11,9.52,-5.16,4.38,-3.93,-5.8,2.71,-5.57,2.47,0.76,-7.83,-10.87,-9.15,1.99,-4.2,4.32,1.22,,,,,,,,,,,,,,,,,,,,,,,,-2.03
5.5,March-2015,-4.65,1.49,5.96,-0.57,7.43,0.85,5.39,-10.27,51.51,5.59,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,4.77,3.41,7.98,78.03,-8.65,6.68,3.65,-10.92,2.71,6.03,11.47,1.86,4.06,4.21,4.79,-3.09,7.99,9.91,8.64,8.75,0.51,,,,,,,,,,,,,,,,,,,,,,,,7.25
3.49,April-2015,-4.26,11.85,7.37,5.09,2.0,5.2,-2.0,3.11,10.22,0.72,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,14.22,12.37,-1.6,0.98,5.46,3.37,6.63,2.17,5.03,-1.58,-1.14,10.82,2.68,3.29,3.16,-1.61,-0.17,0.98,-1.33,-5.06,5.18,,,,,,,,,,,,,,,,,,,,,,,,3.01
