Month,INFOSYS LTD.17ER,meanER
January-2017,8.05,8.05
February-2017,-8.93,-8.93
March-2017,-0.84,-0.84
April-2017,9.93,9.93
May-2017,-6.26,-6.26
June-2017,4.23,4.23
July-2017,-8.09,-8.09
August-2017,9.49,9.49
September-2017,1.81,1.81
