Month,POWER GRID CORPORATION OF INDIA LTD.18ER,COAL INDIA LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,TATA STEEL LTD.18ER,INDIAN OIL CORPORATION LTD.18ER,TATA CONSULTANCY SERVICES LTD.18ER,BHARTI INFRATEL LTD.17ER,COAL INDIA LTD.17ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17ER,TATA STEEL LTD.17ER,INDIAN OIL CORPORATION LTD.17ER,TATA CONSULTANCY SERVICES LTD.17ER,COAL INDIA LTD.16ER,INFOSYS LTD.16ER,TATA STEEL LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.15ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15ER,TATA STEEL LTD.15ER,BHARTI INFRATEL LTD.14ER,TATA STEEL LTD.14ER,meanER
January-2015,,,,,,,,,,,,,,,,7.17,6.92,-2.23,,,3.95
February-2015,,,,,,,,,,,,,,,,6.02,-2.94,-8.91,,,-1.94
March-2015,,,,,,,,,,,,,,,,-7.43,-6.79,-10.91,,,-8.38
April-2015,,,,,,,,,,,,,,,,-2.0,3.1,13.78,,,4.96
May-2015,,,,,,,,,,,,,,,,0.98,1.9,-8.88,,,-2.0
June-2015,,,,,,,,,,,,,,,,-3.2,-4.87,-7.25,,,-5.11
July-2015,,,,,,,,,,,,,,,,1.76,5.25,-18.84,,,-3.94
August-2015,,,,,,,,,,,,,,,,-7.7,9.4,-9.0,,,-2.43
September-2015,,,,,,,,,,,,,,,,1.15,-15.56,-5.84,,,-6.75
October-2015,,,,,,,,,,,,,,,,-2.57,-1.27,16.45,,,4.2
November-2015,,,,,,,,,,,,,,,,5.59,-9.25,-6.77,,,-3.48
December-2015,,,,,,,,,,,,,,,,3.86,-2.83,12.82,,,4.62
February-2014,,,,,,,,,,,,,,,,,,,4.89,-3.4,0.74
March-2014,,,,,,,,,,,,,,,,,,,13.01,14.47,13.74
April-2014,,,,,,,,,,,,,,,,,,,6.41,1.71,4.06
May-2014,,,,,,,,,,,,,,,,,,,6.83,18.57,12.7
June-2014,,,,,,,,,,,,,,,,,,,10.22,11.22,10.72
July-2014,,,,,,,,,,,,,,,,,,,0.67,4.75,2.71
August-2014,,,,,,,,,,,,,,,,,,,2.34,-7.2,-2.43
September-2014,,,,,,,,,,,,,,,,,,,12.4,-10.56,0.92
