meanHQ,Month,TITAN COMPANY LIMITEDHQ,BOSCH LTD.18ER,WIPRO LTD.18ER,INFOSYS LTD.18ER_x,JSW STEEL LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,MAHINDRA & MAHINDRA LTD.18ER_x,ASIAN PAINTS LTD.18ER,LARSEN & TOUBRO LTD.18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,NTPC LTD.18ER_x,BOSCH LTD.17ER,WIPRO LTD.17ER,JSW STEEL LTD.17ER,BAJAJ AUTO LTD.17ER,ASIAN PAINTS LTD.17ER,LARSEN & TOUBRO LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,HCL TECHNOLOGIES LTD.17ER_x,HINDUSTAN ZINC LTD.17ER,BOSCH LTD.16ER,JSW STEEL LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER_x,BAJAJ FINSERV LTD.16ER,ASIAN PAINTS LTD.16ER,LARSEN & TOUBRO LTD.16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,HCL TECHNOLOGIES LTD.16ER_x,BOSCH LTD.15ER,JSW STEEL LTD.15ER,INDUSIND BANK LTD.15ER,ASIAN PAINTS LTD.15ER,LARSEN & TOUBRO LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,TATA CONSULTANCY SERVICES LTD.15ER,WIPRO LTD.14ER,INFOSYS LTD.14ER,JSW STEEL LTD.14ER,INDUSIND BANK LTD.14ER,ASIAN PAINTS LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,SUN PHARMACEUTICAL INDUSTRIES LTD.14ER,meanER_x,INFOSYS LTD.18ER_y,TECH MAHINDRA LTD.18ER,MAHINDRA & MAHINDRA LTD.18ER_y,STATE BANK OF INDIA18ER,AXIS BANK LTD.18ER,TECH MAHINDRA LTD.17ER,MAHINDRA & MAHINDRA LTD.17ER,TECH MAHINDRA LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER_y,TATA CONSULTANCY SERVICES LTD.16ER,meanER_y,OIL AND NATURAL GAS CORPORATION LTD.18ER,GAIL (INDIA) LTD.17ER,OIL AND NATURAL GAS CORPORATION LTD.17ER,GAIL (INDIA) LTD.16ER,OIL AND NATURAL GAS CORPORATION LTD.16ER,GAIL (INDIA) LTD.15ER,OIL AND NATURAL GAS CORPORATION LTD.15ER,GAIL (INDIA) LTD.14ER,OIL AND NATURAL GAS CORPORATION LTD.14ER,meanER_x,HINDUSTAN UNILEVER LTD.18ER,DABUR INDIA LTD.18ER,NTPC LTD.18ER_y,HCL TECHNOLOGIES LTD.18ER,HDFC BANK LTD17ER,BHARTI INFRATEL LTD.17ER,DABUR INDIA LTD.17ER,POWER GRID CORPORATION OF INDIA LTD.17ER,NTPC LTD.17ER,HCL TECHNOLOGIES LTD.17ER_y,BHARTI INFRATEL LTD.16ER,DABUR INDIA LTD.16ER,HCL TECHNOLOGIES LTD.16ER_y,BHARTI INFRATEL LTD.15ER,DABUR INDIA LTD.15ER,NTPC LTD.15ER,HCL TECHNOLOGIES LTD.15ER,NTPC LTD.14ER,HCL TECHNOLOGIES LTD.14ER,meanER_y
-9.32,February-2014,-9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.79,-3.26,4.73,-3.56,-0.15,3.78,-1.64,-9.27,-1.64,,,,,,,,,,,,,,,,,,,-2.97,-5.83,-4.4,,,,,,,,,,,,,,,,,,10.92,-7.6,1.66
-8.36,March-2014,-8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07,14.17,-18.48,-26.1,-15.55,-9.99,6.36,10.79,-3.72,,,,,,,,,,,,,,,,,,,-1.66,-9.31,-5.48,,,,,,,,,,,,,,,,,,-6.53,11.77,2.62
2.93,April-2014,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.1,-4.56,4.43,7.57,6.09,-2.87,-10.15,0.93,,,,,,,,,,,,,,,,,,,1.69,-2.23,-0.27,,,,,,,,,,,,,,,,,,3.08,-0.95,1.06
-21.98,May-2014,-21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,7.42,-11.95,-11.45,-0.85,-6.01,2.06,3.82,-1.71,,,,,,,,,,,,,,,,,,,-2.11,-16.1,-9.1,,,,,,,,,,,,,,,,,,-37.51,-0.98,-19.24
-13.48,June-2014,-13.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.91,-10.37,-2.11,-6.99,-16.34,-3.09,-12.84,-12.98,-9.08,,,,,,,,,,,,,,,,,,,-22.57,-12.02,-17.3,,,,,,,,,,,,,,,,,,2.47,-5.59,-1.56
3.29,July-2014,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,-3.67,4.67,1.89,-6.15,-10.65,-6.52,-15.22,-4.43,,,,,,,,,,,,,,,,,,,5.62,6.69,6.16,,,,,,,,,,,,,,,,,,6.99,-3.9,1.55
-6.42,August-2014,-6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-6.78,-5.61,-4.17,0.79,-8.13,2.04,-8.08,-4.24,,,,,,,,,,,,,,,,,,,-1.71,-10.07,-5.89,,,,,,,,,,,,,,,,,,5.03,-4.85,0.09
-12.32,September-2014,-12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.47,-4.28,7.08,-6.07,-0.84,-0.62,-8.46,-0.32,-2.37,,,,,,,,,,,,,,,,,,,-1.14,5.99,2.43,,,,,,,,,,,,,,,,,,-0.69,-5.21,-2.95
3.54,October-2014,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52,-8.11,-8.97,-16.1,-4.25,1.01,4.88,1.37,-3.08,,,,,,,,,,,,,,,,,,,-17.89,0.99,-8.45,,,,,,,,,,,,,,,,,,-8.15,6.42,-0.87
5.89,November-2014,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.91,-7.6,4.66,-4.55,-13.34,-6.53,-1.48,0.71,-4.0,,,,,,,,,,,,,,,,,,,7.79,6.31,7.05,,,,,,,,,,,,,,,,,,4.9,-3.54,0.68
-3.03,December-2014,-3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,54.78,12.91,-6.79,-1.08,3.45,3.34,1.6,9.2,,,,,,,,,,,,,,,,,,,8.81,10.09,9.45,,,,,,,,,,,,,,,,,,-1.05,3.98,1.46
-12.93,January-2015,-12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.42,6.7,-8.53,-14.06,-13.61,-11.51,2.88,,,,,,,,,-8.65,,,,,,,,,,,,,,,,,4.65,-3.0,,,0.83,,,,,,,,,,,,,,-6.36,-9.68,0.21,-12.42,,,-7.06
2.33,February-2015,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6,-3.43,-5.16,4.56,-3.93,-5.57,-7.83,,,,,,,,,-4.28,,,,,,,,,,,,,,,,,2.53,7.54,,,5.04,,,,,,,,,,,,,,-2.7,-3.05,-8.31,-12.62,,,-6.67
6.78,March-2015,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,10.21,3.65,1.17,2.71,1.86,4.79,,,,,,,,,3.76,,,,,,,,,,,,,,,,,5.96,5.59,,,5.78,,,,,,,,,,,,,,-4.65,-0.57,5.39,51.51,,,12.92
2.35,April-2015,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34,-2.72,6.63,5.67,5.03,10.82,3.16,,,,,,,,,5.7,,,,,,,,,,,,,,,,,7.37,0.72,,,4.04,,,,,,,,,,,,,,-4.26,5.09,-2.0,10.22,,,2.26
