Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,meanHQ,TITAN COMPANY LIMITED18ER,VEDANTA LIMITED18ER,JSW STEEL LTD.18ER,BAJAJ FINSERV LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,SHREE CEMENT LTD.18ER,TITAN COMPANY LIMITED17ER,VEDANTA LIMITED17ER,JSW STEEL LTD.17ER,TECH MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,BAJAJ FINANCE LIMITED17ER,KOTAK MAHINDRA BANK LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,NESTLE INDIA LTD.17ER,HCL TECHNOLOGIES LTD.17ER,TITAN COMPANY LIMITED16ER,VEDANTA LIMITED16ER,JSW STEEL LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,BAJAJ FINSERV LTD.16ER,BAJAJ FINANCE LIMITED16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,AXIS BANK LTD.16ER,NESTLE INDIA LTD.16ER,TITAN COMPANY LIMITED15ER,VEDANTA LIMITED15ER,JSW STEEL LTD.15ER,TECH MAHINDRA LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,NESTLE INDIA LTD.15ER,TITAN COMPANY LIMITED14ER,VEDANTA LIMITED14ER,JSW STEEL LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,NESTLE INDIA LTD.14ER,HINDUSTAN ZINC LTD.14ER,meanER
February-2014,-4.58,-3.79,-3.26,-3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.32,5.78,4.73,-0.47,3.86,9.85,2.4
March-2014,-15.93,9.07,14.17,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.36,-5.83,-18.48,4.94,-3.27,-9.98,-6.83
April-2014,3.22,3.8,3.1,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,1.52,-4.56,-2.32,4.72,-0.23,0.34
May-2014,-17.17,3.26,7.42,-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.98,-51.0,-11.95,-1.95,-3.49,-22.15,-18.75
June-2014,-9.99,-7.91,-10.37,-9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.48,-4.51,-2.11,-14.45,-0.15,-6.11,-6.8
July-2014,1.12,0.24,-3.67,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.6,4.67,-13.63,-3.62,3.12,-0.93
August-2014,-10.69,-4.0,-6.78,-7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.42,4.55,-5.61,-8.92,-17.04,-2.38,-5.97
September-2014,-1.32,-5.47,-4.28,-3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.32,1.66,7.08,-12.09,0.32,2.75,-2.1
October-2014,0.8,5.52,-8.11,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,6.16,-8.97,-9.61,-4.31,-6.81,-3.33
November-2014,-27.28,-3.91,-7.6,-12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,9.56,4.66,-7.73,0.18,4.89,2.91
December-2014,-2.66,5.41,54.78,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.03,7.44,12.91,-11.57,-2.47,-4.25,-0.16
January-2015,-22.42,-9.48,-8.7,-13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.93,5.77,6.7,-11.06,-11.51,-11.43,,,,,,,-5.74
February-2015,-8.6,-8.73,-7.1,-8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,-7.86,-3.43,0.46,-5.57,1.51,,,,,,,-2.09
March-2015,1.91,4.77,3.41,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,12.94,10.21,78.03,1.86,0.85,,,,,,,18.44
April-2015,11.34,14.22,12.37,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,-10.85,-2.72,0.98,10.82,5.2,,,,,,,0.96
May-2015,-5.11,-4.28,-4.12,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,6.33,1.76,11.05,-5.65,-4.2,,,,,,,1.78
June-2015,7.36,3.11,51.28,20.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,11.59,4.79,13.75,-4.93,7.46,,,,,,,5.94
July-2015,-12.45,-4.59,-9.41,-8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,25.16,3.95,-10.75,-3.29,0.04,,,,,,,4.44
August-2015,5.62,-0.4,-1.59,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.29,24.24,-9.93,2.64,11.22,5.79,,,,,,,4.94
September-2015,16.58,-4.5,-5.96,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,13.69,3.54,-8.23,-2.05,-6.26,,,,,,,1.08
October-2015,-5.46,3.99,2.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,-17.51,-2.65,3.43,-3.62,2.69,,,,,,,-4.54
November-2015,8.71,0.1,4.19,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.55,9.95,0.81,1.02,3.18,4.97,,,,,,,1.73
December-2015,0.04,2.25,-1.48,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24,-0.28,-14.18,2.21,-3.73,0.83,,,,,,,-0.98
January-2016,6.57,-0.25,-5.46,0.29,,,,,,,,,,,,,,,,,,,,,-4.96,20.6,-2.51,-0.13,5.94,1.74,6.74,9.48,9.2,5.73,,,,,,,,,,,,,5.18
February-2016,3.81,7.36,6.96,6.04,,,,,,,,,,,,,,,,,,,,,13.07,1.19,-6.3,13.94,13.83,-0.32,9.85,-2.82,8.06,8.71,,,,,,,,,,,,,5.92
March-2016,-23.89,-8.36,-12.38,-14.88,,,,,,,,,,,,,,,,,,,,,-7.1,-26.89,-13.81,-17.12,-5.79,-16.9,-4.14,3.01,-18.47,-15.09,,,,,,,,,,,,,-12.23
April-2016,5.21,1.71,0.58,2.5,,,,,,,,,,,,,,,,,,,,,-4.9,-15.41,-7.14,-8.56,-9.51,1.4,1.52,-6.79,-6.23,0.44,,,,,,,,,,,,,-5.52
