Month,PIDILITE INDUSTRIES LTD.18ER,HINDUSTAN UNILEVER LTD.18ER,DABUR INDIA LTD.18ER,PIDILITE INDUSTRIES LTD.17ER,DABUR INDIA LTD.17ER,PIDILITE INDUSTRIES LTD.16ER,GODREJ CONSUMER PRODUCTS LTD.16ER,PIDILITE INDUSTRIES LTD.15ER,GODREJ CONSUMER PRODUCTS LTD.15ER,PIDILITE INDUSTRIES LTD.14ER,GODREJ CONSUMER PRODUCTS LTD.14ER,meanER
January-2018,0.73,-0.11,-1.65,,,,,,,,,-0.34
February-2018,-0.21,3.89,8.27,,,,,,,,,3.98
March-2018,-2.3,-1.49,-0.6,,,,,,,,,-1.46
April-2018,-18.3,-12.96,-13.06,,,,,,,,,-14.77
May-2018,-6.34,-6.93,-3.8,,,,,,,,,-5.69
June-2018,8.0,-1.75,-1.86,,,,,,,,,1.46
July-2018,-5.61,-5.47,-7.51,,,,,,,,,-6.2
August-2018,-3.83,-2.83,-13.98,,,,,,,,,-6.88
September-2018,10.48,9.71,10.73,,,,,,,,,10.31
October-2018,8.49,-0.63,9.87,,,,,,,,,5.91
November-2018,-21.74,-8.39,-6.54,,,,,,,,,-12.22
December-2018,4.73,-3.68,-4.97,,,,,,,,,-1.31
January-2017,,,,-14.19,0.29,,,,,,,-6.95
February-2017,,,,-1.19,0.14,,,,,,,-0.52
March-2017,,,,-2.48,-0.47,,,,,,,-1.48
April-2017,,,,-2.7,-3.39,,,,,,,-3.04
May-2017,,,,-7.06,2.43,,,,,,,-2.31
June-2017,,,,-4.48,-4.49,,,,,,,-4.49
July-2017,,,,1.03,-6.14,,,,,,,-2.55
August-2017,,,,-5.21,-1.61,,,,,,,-3.41
September-2017,,,,5.16,3.19,,,,,,,4.18
October-2017,,,,1.37,-9.2,,,,,,,-3.91
November-2017,,,,-7.85,-4.11,,,,,,,-5.98
December-2017,,,,-7.03,-0.52,,,,,,,-3.78
January-2016,,,,,,-2.3,7.17,,,,,2.44
February-2016,,,,,,-3.52,2.88,,,,,-0.32
March-2016,,,,,,-0.94,-16.01,,,,,-8.48
April-2016,,,,,,-2.0,4.11,,,,,1.06
May-2016,,,,,,-17.05,-12.4,,,,,-14.73
June-2016,,,,,,-2.08,-7.79,,,,,-4.94
July-2016,,,,,,-1.46,0.69,,,,,-0.38
August-2016,,,,,,4.59,4.45,,,,,4.52
September-2016,,,,,,2.26,-4.19,,,,,-0.97
October-2016,,,,,,-6.4,-1.23,,,,,-3.82
November-2016,,,,,,12.02,9.46,,,,,10.74
December-2016,,,,,,7.63,-4.12,,,,,1.76
January-2015,,,,,,,,-5.0,-9.43,,,-7.22
February-2015,,,,,,,,1.65,-6.54,,,-2.45
March-2015,,,,,,,,-7.25,7.98,,,0.37
April-2015,,,,,,,,5.75,-1.6,,,2.08
May-2015,,,,,,,,2.41,0.7,,,1.56
June-2015,,,,,,,,0.29,-17.21,,,-8.46
July-2015,,,,,,,,-1.2,-11.35,,,-6.28
August-2015,,,,,,,,-2.37,2.59,,,0.11
September-2015,,,,,,,,0.66,8.93,,,4.8
October-2015,,,,,,,,1.01,-3.95,,,-1.47
November-2015,,,,,,,,0.76,2.69,,,1.72
December-2015,,,,,,,,0.66,-7.23,,,-3.28
February-2014,,,,,,,,,,-2.12,-5.08,-3.6
March-2014,,,,,,,,,,-6.63,-7.91,-7.27
April-2014,,,,,,,,,,-4.14,6.33,1.1
May-2014,,,,,,,,,,4.81,2.5,3.66
June-2014,,,,,,,,,,-7.68,-5.97,-6.82
July-2014,,,,,,,,,,-14.06,-2.09,-8.07
August-2014,,,,,,,,,,-10.23,-17.16,-13.7
September-2014,,,,,,,,,,3.07,0.08,1.58
