Month,INFOSYS LTD.18ER,AXIS BANK LTD.18ER,TECH MAHINDRA LTD.18ER,MAHINDRA & MAHINDRA LTD.18ER,STATE BANK OF INDIA18ER,TECH MAHINDRA LTD.17ER,MAHINDRA & MAHINDRA LTD.17ER,TECH MAHINDRA LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,TATA CONSULTANCY SERVICES LTD.16ER,meanER
January-2018,10.71,5.51,21.24,1.65,1.05,,,,,,8.03
February-2018,2.05,-10.75,0.28,-4.55,-14.07,,,,,,-5.41
March-2018,-3.39,-3.81,4.2,1.57,-6.94,,,,,,-1.67
April-2018,5.73,1.7,5.21,17.89,-1.52,,,,,,5.8
May-2018,2.71,4.87,6.02,5.83,9.3,,,,,,5.75
June-2018,6.08,-6.06,-7.8,-2.89,-3.68,,,,,,-2.87
July-2018,4.46,7.78,3.63,4.14,13.15,,,,,,6.63
August-2018,5.49,18.01,12.39,3.36,5.27,,,,,,8.9
September-2018,-49.45,-5.68,-2.57,-10.83,-14.2,,,,,,-16.55
October-2018,-5.72,-4.97,-0.11,-11.31,5.85,,,,,,-3.25
November-2018,-2.88,7.54,-5.19,3.52,1.37,,,,,,0.87
December-2018,-1.0,-0.95,2.21,1.71,3.97,,,,,,1.19
January-2017,,,,,,-7.56,4.64,,,,-1.46
February-2017,,,,,,10.65,5.45,,,,8.05
March-2017,,,,,,-8.05,-1.7,,,,-4.88
April-2017,,,,,,-9.28,3.88,,,,-2.7
May-2017,,,,,,-6.49,6.13,,,,-0.18
June-2017,,,,,,-2.19,-4.85,,,,-3.52
July-2017,,,,,,1.02,4.03,,,,2.53
August-2017,,,,,,11.11,-4.08,,,,3.51
September-2017,,,,,,6.82,-6.77,,,,0.03
October-2017,,,,,,5.27,7.28,,,,6.28
November-2017,,,,,,1.65,4.87,,,,3.26
December-2017,,,,,,2.97,-46.75,,,,-21.89
January-2016,,,,,,,,-3.84,-3.06,-1.97,-2.96
February-2016,,,,,,,,-17.25,-0.48,-8.75,-8.83
March-2016,,,,,,,,14.55,-1.4,15.31,9.49
April-2016,,,,,,,,2.47,10.09,0.56,4.37
May-2016,,,,,,,,10.51,-0.53,1.78,3.92
June-2016,,,,,,,,-5.94,7.87,-0.94,0.33
July-2016,,,,,,,,-3.89,2.66,2.66,0.48
August-2016,,,,,,,,-3.7,-1.97,-4.05,-3.24
September-2016,,,,,,,,-10.41,-2.23,-3.4,-5.35
