Month,OIL AND NATURAL GAS CORPORATION LTD.18ER,GAIL (INDIA) LTD.17ER,OIL AND NATURAL GAS CORPORATION LTD.17ER,GAIL (INDIA) LTD.16ER,OIL AND NATURAL GAS CORPORATION LTD.16ER,GAIL (INDIA) LTD.15ER,OIL AND NATURAL GAS CORPORATION LTD.15ER,GAIL (INDIA) LTD.14ER,OIL AND NATURAL GAS CORPORATION LTD.14ER,meanER
January-2018,4.47,,,,,,,,,4.47
February-2018,-7.3,,,,,,,,,-7.3
March-2018,-5.68,,,,,,,,,-5.68
April-2018,1.52,,,,,,,,,1.52
May-2018,-1.75,,,,,,,,,-1.75
June-2018,-10.8,,,,,,,,,-10.8
July-2018,4.61,,,,,,,,,4.61
August-2018,8.73,,,,,,,,,8.73
September-2018,-1.5,,,,,,,,,-1.5
October-2018,-13.6,,,,,,,,,-13.6
November-2018,-8.46,,,,,,,,,-8.46
December-2018,7.13,,,,,,,,,7.13
January-2017,,6.68,5.59,,,,,,,6.14
February-2017,,10.68,-4.33,,,,,,,3.18
March-2017,,-27.2,-4.32,,,,,,,-15.76
April-2017,,12.56,0.68,,,,,,,6.62
May-2017,,-1.91,-4.97,,,,,,,-3.44
June-2017,,-13.15,-11.16,,,,,,,-12.16
July-2017,,4.35,7.66,,,,,,,6.0
August-2017,,0.42,-7.29,,,,,,,-3.44
September-2017,,10.79,8.69,,,,,,,9.74
October-2017,,10.94,11.98,,,,,,,11.46
November-2017,,0.81,-5.52,,,,,,,-2.35
December-2017,,6.08,7.81,,,,,,,6.94
January-2016,,,,-2.21,-6.53,,,,,-4.37
February-2016,,,,-17.04,-14.15,,,,,-15.6
March-2016,,,,17.01,10.64,,,,,13.82
April-2016,,,,1.11,1.47,,,,,1.29
May-2016,,,,2.93,-3.1,,,,,-0.08
June-2016,,,,3.87,2.44,,,,,3.16
July-2016,,,,-0.78,1.69,,,,,0.45
August-2016,,,,0.5,7.77,,,,,4.14
September-2016,,,,-2.62,8.29,,,,,2.83
October-2016,,,,15.51,12.95,,,,,14.23
November-2016,,,,-1.68,-0.33,,,,,-1.0
December-2016,,,,3.1,-33.75,,,,,-15.32
January-2015,,,,,,-4.65,3.0,,,-0.83
February-2015,,,,,,-2.53,-7.54,,,-5.04
March-2015,,,,,,-5.96,-5.59,,,-5.78
April-2015,,,,,,-7.37,-0.72,,,-4.04
May-2015,,,,,,8.25,8.32,,,8.28
June-2015,,,,,,0.55,-6.15,,,-2.8
July-2015,,,,,,-9.34,-11.82,,,-10.58
August-2015,,,,,,-16.65,-12.18,,,-14.42
September-2015,,,,,,1.97,-4.3,,,-1.16
October-2015,,,,,,2.18,8.0,,,5.09
November-2015,,,,,,18.32,-5.47,,,6.43
December-2015,,,,,,2.78,3.24,,,3.01
February-2014,,,,,,,,2.97,5.83,4.4
March-2014,,,,,,,,1.66,9.31,5.48
April-2014,,,,,,,,-1.69,2.23,0.27
May-2014,,,,,,,,2.11,16.1,9.1
June-2014,,,,,,,,22.57,12.02,17.3
July-2014,,,,,,,,-5.62,-6.69,-6.16
August-2014,,,,,,,,1.71,10.07,5.89
September-2014,,,,,,,,1.14,-5.99,-2.43
