meanHQ,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ,PIDILITE INDUSTRIES LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,AVENUE SUPERMARTS LTD18ER,INDUSIND BANK LTD.18ER,ULTRATECH CEMENT LTD.18ER,INDIAN OIL CORPORATION LTD.18ER,ASIAN PAINTS LTD.18ER,BAJAJ FINANCE LIMITED18ER,LARSEN & TOUBRO LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,HDFC BANK LTD18ER,RELIANCE INDUSTRIES LTD.18ER,ITC LTD.18ER,GAIL (INDIA) LTD.18ER,OIL AND NATURAL GAS CORPORATION LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,HINDUSTAN ZINC LTD.18ER,PIDILITE INDUSTRIES LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,INDIAN OIL CORPORATION LTD.17ER,ASIAN PAINTS LTD.17ER,LARSEN & TOUBRO LTD.17ER,KOTAK MAHINDRA BANK LTD.17ER,HDFC BANK LTD17ER,RELIANCE INDUSTRIES LTD.17ER,ITC LTD.17ER,HERO MOTOCORP LTD.17ER,GAIL (INDIA) LTD.17ER,OIL AND NATURAL GAS CORPORATION LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,HINDUSTAN ZINC LTD.17ER,PIDILITE INDUSTRIES LTD.16ER,INDIAN OIL CORPORATION LTD.16ER,ASIAN PAINTS LTD.16ER,LARSEN & TOUBRO LTD.16ER,KOTAK MAHINDRA BANK LTD.16ER,RELIANCE INDUSTRIES LTD.16ER,ITC LTD.16ER,GAIL (INDIA) LTD.16ER,OIL AND NATURAL GAS CORPORATION LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,HINDUSTAN ZINC LTD.16ER,PIDILITE INDUSTRIES LTD.15ER,BHARAT PETROLEUM CORPORATION LTD.15ER,MAHINDRA & MAHINDRA LTD.15ER,ULTRATECH CEMENT LTD.15ER,INDIAN OIL CORPORATION LTD.15ER,ASIAN PAINTS LTD.15ER,BAJAJ FINANCE LIMITED15ER,LARSEN & TOUBRO LTD.15ER,KOTAK MAHINDRA BANK LTD.15ER,RELIANCE INDUSTRIES LTD.15ER,ITC LTD.15ER,HERO MOTOCORP LTD.15ER,GAIL (INDIA) LTD.15ER,OIL AND NATURAL GAS CORPORATION LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,HINDUSTAN ZINC LTD.15ER,PIDILITE INDUSTRIES LTD.14ER,TECH MAHINDRA LTD.14ER,BHARAT PETROLEUM CORPORATION LTD.14ER,MAHINDRA & MAHINDRA LTD.14ER,ULTRATECH CEMENT LTD.14ER,BAJAJ FINSERV LTD.14ER,INDIAN OIL CORPORATION LTD.14ER,ASIAN PAINTS LTD.14ER,LARSEN & TOUBRO LTD.14ER,KOTAK MAHINDRA BANK LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,RELIANCE INDUSTRIES LTD.14ER,ITC LTD.14ER,GAIL (INDIA) LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,OIL AND NATURAL GAS CORPORATION LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,HINDUSTAN ZINC LTD.14ER,meanER
-10.51,February-2014,-14.12,-9.27,-13.07,-5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,-4.45,-3.86,-9.32,-7.77,-5.78,-1.14,-0.15,-12.47,-4.0,-1.64,3.8,-0.74,-2.97,0.94,-5.83,3.0,9.85,-2.48
-9.0,March-2014,-12.11,10.79,-15.37,-19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.63,4.07,-21.89,-0.74,-18.97,-9.8,-12.45,-15.55,-14.83,-13.88,6.36,-16.3,-7.77,-1.66,-11.05,-9.31,-24.28,-9.98,-10.26
-3.64,April-2014,-0.43,-10.15,-4.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.14,-2.11,1.37,-9.33,7.36,-4.75,5.86,7.57,-1.8,-3.25,-2.87,-0.62,3.46,1.69,-0.67,-2.23,2.71,-0.23,-0.11
-12.73,May-2014,-19.94,3.82,-20.86,-13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,-4.52,-14.88,-14.77,-17.6,-3.04,-37.39,-0.85,-19.56,-8.0,2.06,-13.88,-0.22,-2.11,-15.13,-16.1,-18.33,-22.15,-11.2
-6.36,June-2014,-7.81,-12.98,-4.64,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.68,-12.38,-14.92,6.71,-9.0,-9.68,4.35,-16.34,-9.86,-2.03,-12.84,4.74,4.86,-22.57,-14.29,-12.02,-7.44,-6.11,-7.58
13.37,July-2014,-7.06,-15.22,79.61,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.06,0.1,3.1,-4.88,6.83,-0.84,3.98,-6.15,11.61,-7.74,-6.52,0.86,-9.63,5.62,4.6,6.69,-3.53,3.12,-0.38
-5.91,August-2014,-8.5,-8.08,-1.39,-5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.23,-9.85,-19.56,-16.86,-5.16,-11.32,-8.28,0.79,-1.52,-8.64,2.04,0.67,0.29,-1.71,2.6,-10.07,-10.29,-2.38,-6.08
3.53,September-2014,1.73,-0.32,4.91,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,-5.32,5.88,3.17,-3.07,-7.56,-0.74,-0.84,4.55,2.18,-8.46,5.39,-4.39,-1.14,-4.64,5.99,-10.06,2.75,-0.74
-7.6,October-2014,-2.37,1.37,-16.13,-13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,-0.97,-10.82,4.32,2.81,5.53,-0.61,-4.25,-13.54,-10.42,4.88,-5.7,4.18,-17.89,-7.39,0.99,-8.94,-6.81,-3.82
-4.73,November-2014,-2.02,0.71,-9.64,-7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.01,-5.18,-2.99,-1.56,2.4,-7.8,-0.27,-13.34,0.89,-7.43,-1.48,0.84,-2.18,7.79,2.17,6.31,0.07,4.89,-1.55
