Month,OIL AND NATURAL GAS CORPORATION LTD.18ER,PIDILITE INDUSTRIES LTD.18ER,GODREJ CONSUMER PRODUCTS LTD.18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,HINDUSTAN UNILEVER LTD.18ER,RELIANCE INDUSTRIES LTD.18ER,OIL AND NATURAL GAS CORPORATION LTD.17ER,PIDILITE INDUSTRIES LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,BHARTI INFRATEL LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.16ER,OIL AND NATURAL GAS CORPORATION LTD.16ER,PIDILITE INDUSTRIES LTD.16ER,INDIAN OIL CORPORATION LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,GAIL (INDIA) LTD.15ER,OIL AND NATURAL GAS CORPORATION LTD.15ER,PIDILITE INDUSTRIES LTD.15ER,INDIAN OIL CORPORATION LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,GAIL (INDIA) LTD.14ER,OIL AND NATURAL GAS CORPORATION LTD.14ER,COAL INDIA LTD.14ER,PIDILITE INDUSTRIES LTD.14ER,INDIAN OIL CORPORATION LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,meanER
January-2018,4.47,-0.73,5.4,14.34,0.11,4.35,,,,,,,,,,,,,,,,,,,,,4.66
February-2018,-7.3,0.21,1.44,-7.21,-3.89,-0.91,,,,,,,,,,,,,,,,,,,,,-2.94
March-2018,-5.68,2.3,2.27,0.53,1.49,-7.31,,,,,,,,,,,,,,,,,,,,,-1.07
April-2018,1.52,18.3,2.21,3.3,12.96,9.1,,,,,,,,,,,,,,,,,,,,,7.9
May-2018,-1.75,6.34,2.24,-2.98,6.93,-4.34,,,,,,,,,,,,,,,,,,,,,1.07
June-2018,-10.8,-8.0,7.27,4.31,1.75,5.61,,,,,,,,,,,,,,,,,,,,,0.02
July-2018,4.61,5.61,7.65,4.58,5.47,21.88,,,,,,,,,,,,,,,,,,,,,8.3
August-2018,8.73,3.83,9.75,-3.17,2.83,4.65,,,,,,,,,,,,,,,,,,,,,4.44
September-2018,-1.5,-10.48,-46.91,-9.11,-9.71,1.39,,,,,,,,,,,,,,,,,,,,,-12.72
October-2018,-13.6,-8.49,-5.71,0.8,0.63,-15.64,,,,,,,,,,,,,,,,,,,,,-7.0
November-2018,-8.46,21.74,3.59,12.1,8.39,10.06,,,,,,,,,,,,,,,,,,,,,7.9
December-2018,7.13,-4.73,8.42,-0.69,3.68,-4.04,,,,,,,,,,,,,,,,,,,,,1.63
January-2017,,,,,,,5.59,14.19,3.49,,,,,,,,,,,,,,,,,,7.76
February-2017,,,,,,,-4.33,1.19,1.14,,,,,,,,,,,,,,,,,,-0.67
March-2017,,,,,,,-4.32,2.48,5.19,,,,,,,,,,,,,,,,,,1.12
April-2017,,,,,,,0.68,2.7,2.74,,,,,,,,,,,,,,,,,,2.04
May-2017,,,,,,,-4.97,7.06,14.13,,,,,,,,,,,,,,,,,,5.41
June-2017,,,,,,,-11.16,4.48,1.39,,,,,,,,,,,,,,,,,,-1.76
July-2017,,,,,,,7.66,-1.03,6.63,,,,,,,,,,,,,,,,,,4.42
August-2017,,,,,,,-7.29,5.21,5.55,,,,,,,,,,,,,,,,,,1.16
September-2017,,,,,,,8.69,-5.16,-3.47,,,,,,,,,,,,,,,,,,0.02
October-2017,,,,,,,11.98,-1.37,5.25,,,,,,,,,,,,,,,,,,5.29
November-2017,,,,,,,-5.52,7.85,2.98,,,,,,,,,,,,,,,,,,1.77
December-2017,,,,,,,7.81,7.03,7.41,,,,,,,,,,,,,,,,,,7.42
January-2016,,,,,,,,,,-15.79,4.53,-6.53,2.3,-6.43,-5.27,,,,,,,,,,,,-4.53
February-2016,,,,,,,,,,-1.11,-11.86,-14.15,3.52,-8.44,1.58,,,,,,,,,,,,-5.08
March-2016,,,,,,,,,,7.15,6.92,10.64,0.94,7.13,4.78,,,,,,,,,,,,6.26
April-2016,,,,,,,,,,-1.94,3.13,1.47,2.0,10.03,-0.33,,,,,,,,,,,,2.39
May-2016,,,,,,,,,,0.25,4.57,-3.1,17.05,-3.96,-1.93,,,,,,,,,,,,2.15
June-2016,,,,,,,,,,-8.21,8.63,2.44,2.08,5.98,5.73,,,,,,,,,,,,2.78
July-2016,,,,,,,,,,14.6,7.95,1.69,1.46,23.33,2.55,,,,,,,,,,,,8.6
August-2016,,,,,,,,,,-11.22,4.6,7.77,-4.59,5.95,-0.53,,,,,,,,,,,,0.33
September-2016,,,,,,,,,,4.02,-4.16,8.29,-2.26,1.22,-5.33,,,,,,,,,,,,0.3
October-2016,,,,,,,,,,-4.71,-0.79,12.95,6.4,-44.48,-3.17,,,,,,,,,,,,-5.63
November-2016,,,,,,,,,,7.91,9.75,-0.33,-12.02,-5.49,0.48,,,,,,,,,,,,0.05
December-2016,,,,,,,,,,-8.43,-4.45,-33.75,-7.63,6.49,-2.13,,,,,,,,,,,,-8.32
January-2015,,,,,,,,,,,,,,,,-4.65,3.0,5.0,4.72,22.82,,,,,,,6.18
February-2015,,,,,,,,,,,,,,,,-2.53,-7.54,-1.65,-4.38,-2.47,,,,,,,-3.71
March-2015,,,,,,,,,,,,,,,,-5.96,-5.59,7.25,10.92,-4.06,,,,,,,0.51
April-2015,,,,,,,,,,,,,,,,-7.37,-0.72,-5.75,-2.17,-2.68,,,,,,,-3.74
May-2015,,,,,,,,,,,,,,,,8.25,8.32,-2.41,-1.21,1.21,,,,,,,2.83
June-2015,,,,,,,,,,,,,,,,0.55,-6.15,-0.29,8.05,6.59,,,,,,,1.75
