Month,TITAN COMPANY LIMITEDHQ,meanHQ,BOSCH LTD.18ER,WIPRO LTD.18ER,INFOSYS LTD.18ER,JSW STEEL LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,MAHINDRA & MAHINDRA LTD.18ER,ASIAN PAINTS LTD.18ER,LARSEN & TOUBRO LTD.18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,NTPC LTD.18ER,BOSCH LTD.17ER,WIPRO LTD.17ER,JSW STEEL LTD.17ER,BAJAJ AUTO LTD.17ER,ASIAN PAINTS LTD.17ER,LARSEN & TOUBRO LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,HCL TECHNOLOGIES LTD.17ER,HINDUSTAN ZINC LTD.17ER,BOSCH LTD.16ER,JSW STEEL LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,BAJAJ FINSERV LTD.16ER,ASIAN PAINTS LTD.16ER,LARSEN & TOUBRO LTD.16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,HCL TECHNOLOGIES LTD.16ER,BOSCH LTD.15ER,JSW STEEL LTD.15ER,INDUSIND BANK LTD.15ER,ASIAN PAINTS LTD.15ER,LARSEN & TOUBRO LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,TATA CONSULTANCY SERVICES LTD.15ER,WIPRO LTD.14ER,INFOSYS LTD.14ER,JSW STEEL LTD.14ER,INDUSIND BANK LTD.14ER,ASIAN PAINTS LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,SUN PHARMACEUTICAL INDUSTRIES LTD.14ER,meanER
July-2016,-3.55,-3.55,,,,,,,,,,,,,,,,,,,,,,-10.38,-14.25,-2.66,-17.28,-11.06,-4.13,-9.71,-2.55,-12.22,-3.0,,,,,,,,,,,,,,,,-8.72
August-2016,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,3.15,-4.88,1.97,-9.07,-4.0,2.83,-2.31,0.53,-13.26,-3.55,,,,,,,,,,,,,,,,-2.86
September-2016,5.38,5.38,,,,,,,,,,,,,,,,,,,,,,6.07,1.35,2.23,-3.62,-0.25,5.43,0.93,5.33,2.26,-2.64,,,,,,,,,,,,,,,,1.71
October-2016,3.49,3.49,,,,,,,,,,,,,,,,,,,,,,3.7,4.16,6.25,-10.87,7.46,-3.14,0.88,3.17,-18.89,3.97,,,,,,,,,,,,,,,,-0.33
November-2016,15.66,15.66,,,,,,,,,,,,,,,,,,,,,,6.28,-4.03,10.02,12.42,9.81,6.37,8.41,-0.48,9.01,-4.53,,,,,,,,,,,,,,,,5.33
December-2016,-1.15,-1.15,,,,,,,,,,,,,,,,,,,,,,-2.35,5.9,0.13,3.04,8.09,2.4,0.18,2.13,3.47,-3.06,,,,,,,,,,,,,,,,1.99
January-2017,-11.37,-11.37,,,,,,,,,,,,-5.44,3.57,87.79,-7.74,-8.91,-7.07,-8.23,-3.49,2.24,-16.83,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
February-2017,-20.36,-20.36,,,,,,,,,,,,2.5,-6.87,5.9,2.8,-5.53,-1.77,-0.18,-1.14,-3.86,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14
March-2017,-5.65,-5.65,,,,,,,,,,,,-5.52,-5.5,-0.48,-1.79,-4.56,-7.3,-9.76,-5.19,-3.92,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,-3.78
April-2017,-2.16,-2.16,,,,,,,,,,,,-0.66,4.12,-6.08,-2.17,-4.52,-10.8,-2.31,-2.74,6.96,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,-1.13
May-2017,-0.73,-0.73,,,,,,,,,,,,-1.63,-8.71,2.49,0.85,-2.95,-0.67,-2.15,-14.13,-6.52,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,-2.27
June-2017,-10.3,-10.3,,,,,,,,,,,,0.0,51.83,-4.74,1.88,4.2,4.09,-2.94,-1.39,1.7,-9.48,,,,,,,,,,,,,,,,,,,,,,,,,,4.52
July-2017,-3.74,-3.74,,,,,,,,,,,,-3.14,-11.69,-8.93,-0.61,-5.01,29.37,-10.51,-6.63,-4.49,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,-2.89
August-2017,-13.51,-13.51,,,,,,,,,,,,8.33,-3.48,-15.06,-0.03,-0.75,4.71,0.6,-5.55,3.02,-4.68,,,,,,,,,,,,,,,,,,,,,,,,,,-1.29
September-2017,5.5,5.5,,,,,,,,,,,,6.88,6.05,2.51,-10.67,4.37,-0.46,1.96,3.47,-1.46,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,1.24
October-2017,-8.86,-8.86,,,,,,,,,,,,-2.45,-4.64,-3.83,-4.89,-5.7,-6.96,1.92,-5.25,2.17,-6.64,,,,,,,,,,,,,,,,,,,,,,,,,,-3.63
November-2017,-29.13,-29.13,,,,,,,,,,,,3.29,0.75,1.3,-1.59,2.79,0.31,1.73,-2.98,0.89,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,1.15
December-2017,-4.51,-4.51,,,,,,,,,,,,1.1,-7.4,-5.97,-0.35,-0.88,-3.3,-1.94,-7.41,-5.04,-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,-3.43
January-2018,-1.52,-1.52,3.78,2.79,-10.71,-7.58,-10.62,-1.65,2.32,-12.7,-14.34,0.92,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.99
February-2018,6.11,6.11,3.38,3.89,-2.05,-7.57,-7.93,4.55,1.08,6.88,7.21,-6.68,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
March-2018,-15.35,-15.35,2.96,3.88,3.39,7.71,1.62,-1.57,-0.17,0.55,-0.53,0.27,-3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
April-2018,-4.23,-4.23,-6.98,0.96,-5.73,-12.88,-14.43,-17.89,-7.09,-6.76,-3.3,-10.77,-1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.84
May-2018,8.12,8.12,5.8,6.04,-2.71,-2.21,5.18,-5.83,-8.79,2.36,2.98,-7.7,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17
June-2018,2.5,2.5,4.31,0.19,-6.08,1.73,7.39,2.89,3.18,7.04,-4.31,-4.48,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
July-2018,-3.6,-3.6,-6.92,-5.89,-4.46,-1.01,-9.97,-4.14,-14.57,-2.46,-4.58,-5.38,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.15
August-2018,2.17,2.17,-17.63,-8.98,-5.49,-20.19,7.83,-3.36,5.33,-5.11,3.17,-3.11,-10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.24
September-2018,9.57,9.57,9.9,-7.48,49.45,4.07,15.11,10.83,5.62,7.48,9.11,13.85,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
