Month,Close Price
January-2014,171.8
February-2014,180.2
March-2014,203.65
April-2014,216.7
May-2014,231.5
June-2014,255.15
July-2014,256.85
August-2014,262.85
September-2014,295.45
October-2014,293.35
November-2014,298.95
December-2014,336.65
January-2015,358.05
February-2015,367.7
March-2015,384.8
April-2015,401.2
May-2015,479.15
June-2015,446.45
July-2015,447.95
August-2015,399.55
September-2015,354.75
October-2015,388.85
November-2015,384.7
December-2015,428.35
January-2016,360.7
February-2016,356.7
March-2016,382.2
April-2016,374.8
May-2016,375.75
June-2016,344.9
July-2016,395.25
August-2016,350.9
September-2016,365.0
October-2016,347.8
November-2016,375.3
December-2016,343.65
January-2017,293.65
February-2017,284.55
March-2017,325.45
April-2017,354.8
May-2017,367.8
June-2017,374.5
July-2017,401.7
August-2017,377.75
September-2017,398.25
October-2017,441.95
November-2017,383.15
December-2017,377.65
January-2018,351.0
February-2018,347.15
March-2018,336.25
April-2018,313.55
May-2018,297.9
June-2018,301.4
July-2018,286.1
August-2018,287.45
September-2018,262.1
October-2018,268.85
November-2018,256.5
December-2018,259.65
January-2019,292.95
February-2019,293.5
March-2019,305.95
