Month,Close Price
January-2014,172.0
February-2014,172.95
March-2014,179.55
April-2014,179.35
May-2014,187.5
June-2014,187.25
July-2014,206.7
August-2014,232.4
September-2014,222.2
October-2014,225.9
November-2014,241.1
December-2014,233.55
January-2015,256.15
February-2015,263.95
March-2015,265.45
April-2015,251.95
May-2015,270.85
June-2015,280.4
July-2015,293.35
August-2015,273.7
September-2015,276.3
October-2015,270.2
November-2015,273.65
December-2015,276.6
January-2016,250.05
February-2016,237.8
March-2016,249.15
April-2016,275.55
May-2016,290.0
June-2016,308.2
July-2016,303.7
August-2016,290.7
September-2016,271.3
October-2016,292.2
November-2016,283.35
December-2016,277.05
January-2017,276.25
February-2017,275.85
March-2017,277.15
April-2017,286.55
May-2017,279.6
June-2017,292.15
July-2017,310.1
August-2017,315.1
September-2017,305.05
October-2017,333.1
November-2017,346.8
December-2017,348.6
January-2018,354.35
February-2018,325.05
March-2018,327.0
April-2018,369.7
May-2018,383.75
June-2018,390.9
July-2018,420.25
August-2018,479.0
September-2018,427.6
October-2018,385.4
November-2018,410.6
December-2018,431.0
January-2019,443.25
February-2019,438.5
March-2019,432.5
