Month,Close Price
January-2014,4419.35
February-2014,4678.8
March-2014,5638.4
April-2014,5681.9
May-2014,6803.4
June-2014,7246.45
July-2014,7360.0
August-2014,7870.6
September-2014,8408.15
October-2014,9104.7
November-2014,8973.9
December-2014,9412.1
January-2015,10956.45
February-2015,10822.55
March-2015,10767.5
April-2015,10210.25
May-2015,10992.95
June-2015,11324.45
July-2015,11387.9
August-2015,10802.05
September-2015,11777.35
October-2015,12328.15
November-2015,11099.9
December-2015,11472.6
January-2016,10473.3
February-2016,10077.7
March-2016,12420.9
April-2016,12745.7
May-2016,13199.6
June-2016,14544.85
July-2016,16109.75
August-2016,17100.55
September-2016,17013.25
October-2016,16912.8
November-2016,15568.7
December-2016,14724.7
January-2017,15479.5
February-2017,16089.65
March-2017,17020.0
April-2017,19262.6
May-2017,18000.9
June-2017,16944.0
July-2017,18638.55
August-2017,17594.45
September-2017,18569.0
October-2017,18974.7
November-2017,17221.55
December-2017,18038.7
January-2018,17212.45
February-2018,16677.8
March-2018,16181.5
April-2018,16844.35
May-2018,16836.65
June-2018,15556.3
July-2018,17064.15
August-2018,18960.2
September-2018,16835.85
October-2018,13896.05
November-2018,16476.35
December-2018,17212.45
January-2019,15749.75
February-2019,16608.9
March-2019,17678.55
