Month,Close Price
January-2014,917.4
February-2014,874.05
March-2014,1035.55
April-2014,1082.75
May-2014,1212.1
June-2014,1237.65
July-2014,1179.8
August-2014,1245.95
September-2014,1157.7
October-2014,1261.6
November-2014,1202.75
December-2014,1047.5
January-2015,977.3
February-2015,1010.85
March-2015,907.65
April-2015,932.35
May-2015,915.95
June-2015,872.05
July-2015,837.6
August-2015,920.8
September-2015,888.2
October-2015,911.7
November-2015,904.35
December-2015,1032.55
January-2016,1058.5
February-2016,1125.15
March-2016,1280.55
April-2016,1371.95
May-2016,1391.2
June-2016,1464.9
July-2016,1673.7
August-2016,1755.35
September-2016,1731.65
October-2016,1659.55
November-2016,1726.5
December-2016,1624.6
January-2017,198.4
February-2017,186.7
March-2017,187.6
April-2017,199.0
May-2017,194.05
June-2017,203.25
July-2017,221.4
August-2017,254.75
September-2017,248.35
October-2017,257.85
November-2017,254.5
December-2017,269.7
January-2018,290.15
February-2018,312.1
March-2018,288.05
April-2018,325.15
May-2018,332.35
June-2018,326.6
July-2018,329.9
August-2018,396.5
September-2018,380.35
October-2018,338.45
November-2018,314.55
December-2018,306.25
January-2019,274.6
February-2019,281.05
March-2019,286.85
