Month,Close Price
January-2014,680.4
February-2014,719.7
March-2014,790.2
April-2014,827.75
May-2014,852.9
June-2014,935.5
July-2014,943.35
August-2014,1050.15
September-2014,1129.5
October-2014,1067.0
November-2014,1150.25
December-2014,1311.45
January-2015,1442.3
February-2015,1407.1
March-2015,1389.45
April-2015,1427.95
May-2015,1523.05
June-2015,1526.05
July-2015,1845.8
August-2015,1817.4
September-2015,1731.1
October-2015,1956.25
November-2015,1937.05
December-2015,1986.8
January-2016,1868.85
February-2016,1610.45
March-2016,1703.75
April-2016,1865.7
May-2016,1823.8
June-2016,2318.95
July-2016,2719.6
August-2016,2966.4
September-2016,3073.9
October-2016,3408.15
November-2016,2985.0
December-2016,2894.15
January-2017,3240.4
February-2017,3964.1
March-2017,4087.8
April-2017,4568.65
May-2017,4191.3
June-2017,4116.0
July-2017,4999.7
August-2017,5503.6
September-2017,5146.55
October-2017,5024.2
November-2017,5223.55
December-2017,5238.4
January-2018,4810.8
February-2018,5056.85
March-2018,5178.55
April-2018,5482.55
May-2018,6048.45
June-2018,5818.65
July-2018,6985.9
August-2018,6754.85
September-2018,5988.65
October-2018,5402.5
November-2018,6007.3
December-2018,6481.3
January-2019,6093.15
February-2019,6466.75
March-2019,6625.3
