Month,Close Price
January-2014,245.3
February-2014,248.1
March-2014,279.0
April-2014,262.65
May-2014,360.85
June-2014,345.15
July-2014,331.4
August-2014,358.85
September-2014,361.5
October-2014,363.7
November-2014,364.7
December-2014,331.6
January-2015,347.25
February-2015,332.05
March-2015,368.3
April-2015,360.3
May-2015,355.95
June-2015,384.6
July-2015,431.25
August-2015,414.65
September-2015,402.1
October-2015,399.1
November-2015,420.85
December-2015,428.65
January-2016,401.1
February-2016,367.25
March-2016,393.45
April-2016,432.9
May-2016,415.75
June-2016,440.6
July-2016,543.4
August-2016,575.75
September-2016,582.75
October-2016,323.55
November-2016,305.8
December-2016,325.65
January-2017,366.05
February-2017,384.95
March-2017,386.75
April-2017,439.85
May-2017,431.85
June-2017,384.9
July-2017,367.35
August-2017,453.95
September-2017,400.05
October-2017,414.3
November-2017,393.5
December-2017,388.4
January-2018,417.75
February-2018,379.25
March-2018,176.3
April-2018,162.3
May-2018,174.05
June-2018,155.95
July-2018,164.45
August-2018,155.65
September-2018,153.2
October-2018,138.05
November-2018,133.6
December-2018,137.1
January-2019,137.15
February-2019,144.8
March-2019,148.65
