Month,Close Price
January-2014,325.1
February-2014,327.5
March-2014,352.95
April-2014,340.75
May-2014,341.5
June-2014,324.9
July-2014,356.2
August-2014,355.15
September-2014,370.75
October-2014,355.25
November-2014,363.0
December-2014,368.4
January-2015,368.6
February-2015,361.25
March-2015,325.45
April-2015,322.25
May-2015,326.75
June-2015,315.05
July-2015,326.2
August-2015,325.3
September-2015,328.9
October-2015,334.7
November-2015,343.2
December-2015,327.6
January-2016,319.5
February-2016,295.8
March-2016,328.05
April-2016,324.8
May-2016,351.6
June-2016,368.1
July-2016,252.45
August-2016,260.05
September-2016,241.55
October-2016,241.9
November-2016,232.9
December-2016,240.95
January-2017,258.05
February-2017,262.15
March-2017,280.45
April-2017,278.6
May-2017,311.9
June-2017,323.85
July-2017,285.15
August-2017,282.2
September-2017,258.25
October-2017,266.1
November-2017,255.65
December-2017,263.1
January-2018,271.25
February-2018,265.1
March-2018,255.9
April-2018,281.45
May-2018,271.6
June-2018,266.05
July-2018,297.2
August-2018,319.15
September-2018,296.7
October-2018,279.8
November-2018,286.25
December-2018,281.65
January-2019,278.75
February-2019,276.15
March-2019,292.05
