Month,Close Price
January-2014,1525.0
February-2014,1568.65
March-2014,1790.05
April-2014,1874.3
May-2014,2020.85
June-2014,2001.05
July-2014,2205.5
August-2014,2468.8
September-2014,2711.0
October-2014,2798.5
November-2014,3083.85
December-2014,3481.45
January-2015,4044.05
February-2015,4362.8
March-2015,4096.25
April-2015,4009.45
May-2015,4218.75
June-2015,5456.65
July-2015,5496.7
August-2015,5024.05
September-2015,5097.8
October-2015,5214.55
November-2015,5506.95
December-2015,6013.2
January-2016,5908.3
February-2016,5927.45
March-2016,6929.2
April-2016,6832.2
May-2016,7575.3
June-2016,7989.15
July-2016,10357.25
August-2016,11020.0
September-2016,1056.6
October-2016,1080.6
November-2016,919.4
December-2016,839.25
January-2017,1036.2
February-2017,1107.3
March-2017,1174.1
April-2017,1275.85
May-2017,1324.95
June-2017,1374.2
July-2017,1702.1
August-2017,1783.65
September-2017,1834.95
October-2017,1799.65
November-2017,1729.35
December-2017,1756.8
January-2018,1677.5
February-2018,1642.1
March-2018,1769.75
April-2018,1906.05
May-2018,2108.1
June-2018,2296.95
July-2018,2698.55
August-2018,2859.15
September-2018,2167.4
October-2018,2374.7
November-2018,2528.4
December-2018,2641.15
January-2019,2570.35
February-2019,2647.4
March-2019,2766.65
