Month,Close Price
January-2014,275.5
February-2014,291.55
March-2014,318.7
April-2014,325.8
May-2014,378.25
June-2014,423.7
July-2014,395.35
August-2014,435.15
September-2014,409.1
October-2014,405.05
November-2014,379.5
December-2014,341.2
January-2015,351.45
February-2015,324.95
March-2015,306.8
April-2015,304.6
May-2015,329.95
June-2015,309.65
July-2015,273.05
August-2015,239.8
September-2015,229.5
October-2015,247.85
November-2015,234.3
December-2015,241.9
January-2016,226.1
February-2016,194.1
March-2016,214.75
April-2016,217.9
May-2016,211.15
June-2016,216.3
July-2016,219.95
August-2016,237.05
September-2016,256.7
October-2016,289.95
November-2016,289.0
December-2016,191.45
January-2017,202.15
February-2017,193.4
March-2017,185.05
April-2017,186.3
May-2017,177.05
June-2017,157.3
July-2017,169.35
August-2017,157.0
September-2017,170.65
October-2017,191.1
November-2017,180.55
December-2017,194.65
January-2018,203.35
February-2018,188.5
March-2018,177.8
April-2018,180.5
May-2018,177.35
June-2018,158.2
July-2018,165.5
August-2018,179.95
September-2018,177.25
October-2018,153.15
November-2018,140.2
December-2018,150.2
January-2019,141.7
February-2019,148.8
March-2019,150.1
