Month,Close Price
January-2014,95.5
February-2014,94.6
March-2014,105.05
April-2014,105.75
May-2014,121.75
June-2014,139.15
July-2014,132.75
August-2014,129.3
September-2014,135.3
October-2014,145.3
November-2014,142.15
December-2014,138.05
January-2015,147.95
February-2015,156.85
March-2015,145.2
April-2015,142.3
May-2015,143.7
June-2015,139.1
July-2015,141.55
August-2015,130.65
September-2015,132.15
October-2015,128.75
November-2015,135.95
December-2015,141.2
January-2016,147.6
February-2016,130.1
March-2016,139.1
April-2016,143.45
May-2016,150.0
June-2016,162.95
July-2016,175.9
August-2016,184.0
September-2016,176.35
October-2016,174.95
November-2016,192.0
December-2016,183.45
January-2017,206.55
February-2017,192.0
March-2017,197.2
April-2017,207.6
May-2017,207.8
June-2017,210.55
July-2017,223.05
August-2017,218.35
September-2017,210.65
October-2017,212.75
November-2017,205.95
December-2017,200.35
January-2018,193.5
February-2018,198.45
March-2018,193.85
April-2018,207.65
May-2018,208.95
June-2018,186.65
July-2018,182.2
August-2018,200.6
September-2018,188.45
October-2018,185.7
November-2018,180.1
December-2018,199.0
January-2019,188.65
February-2019,182.55
March-2019,187.1
